Names,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,npxG,xAG,npxG+xAG,PrgR,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,TotDist,PrgDist,Cmp%S,Cmp%M,Cmp%L,xA,A-xAG,KP,F3rdPPA,PPA,CrsPA,PrgP,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,BlockedPass,SCA,SCA90,PassLiveSCA,PassDeadSCA,TO,ShToS,Fld,Def,GCA,GCA90,PassLive,PassDead,TOSCA,ShSCA,FldSCA,DefSCA,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,TklDef,Att,Tkl%,Lost,Blocks,ShBlocked,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rdT,Mid 3rdT,Att 3rdT,Att Pen,LiveT,AttTO,Succ%,Tkld,Tkld%,Carries,TotDistC,PrgDistC,PrgC,F3Carry,CPA,Mis,Dis,Rec,CrdY,CrdR,2CrdY,Fls,PKwon,PKcon,OG,Recov,ADWon,ADLost,Playstyles
Thilo Kehrer,1,0.0643,0.0402,0.1044,0.0643,0,0,0.053,0.053,0.0217,0.0747,1.1807,0.5703,0.1767,31,0.11,0.36,0.1108,0.11,0.4,0.4,794.8835,269.8956,93.4,92,68.7,0.0241,0.0185,0.257,2.4257,0.1446,0.0321,3.1968,49.992,3.0763,0.8675,0.0241,0.2651,0.506,2.1928,0,0,0,0,47.51,0.0723,0.4096,0.8112,0.0072,0.6265,0.0643,0.008,0.0643,0.0321,0.0161,0.1044,0.001,0.0723,0.008,0,0.0161,0.008,0,2.008,1.6546,0.988,0.8675,0.1526,0.9799,1.7992,54.5,0.8193,1.0361,0.4177,0.6185,1.4859,3.1325,2.6185,0.0482,61.6064,4.6988,23.4779,32.9639,5.502,0.8273,61.6064,0.4257,64.2,0.1526,35.8,35.9598,164.9558,86.6586,0.8675,0.6426,0.0482,0.3775,0.2329,41.8554,0.1526,0.008,0,1.3253,0.0161,0.0402,0.008,4.5382,1.6707,1.3414,Defensive Full Back
Lloyd Kelly,1,0.0277,0.0554,0.083,0.0277,0,0,0.0208,0.0208,0.0547,0.0754,1.4948,0.2837,0.09,31.7,0.1,0.31,0.1045,0.08,0,0,878.1246,320.1176,86.3,84.6,49.1,0.0491,0.0007,0.3875,3.2734,0.4221,0.1938,3.1419,50.4913,7.0381,1.4602,0.0484,0.5467,1.4187,5.5433,0.0138,0.0069,0,0,44.1246,0.1315,0.8166,1.0519,0.0077,0.7751,0.1315,0.0623,0.0484,0.0346,0,0.1038,0.0008,0.083,0.0069,0,0.0138,0,0,1.1488,0.7405,0.7543,0.3391,0.0554,0.4913,0.7266,67.6,0.2353,0.8166,0.4291,0.3875,0.9965,2.1246,3.4394,0.0415,66.6298,6.9273,31.9792,27.7232,7.564,0.6782,66.6298,0.7336,58.5,0.2976,40.6,37.4879,220.8927,128.782,1.2664,0.7889,0.0484,0.9204,0.4637,39.1003,0.1522,0,0,0.8166,0,0.0069,0.0208,6.1869,2.1799,1.4048,Sweeper
Max Kilman,1,0.01,0.01,0.02,0.01,0,0,0.0369,0.0369,0.014,0.0509,0.1597,0.3792,0.0898,23.7,0.03,0.11,0.1008,0.1,-2.7,-2.7,860.6088,314.4511,92.2,91.4,51.6,0.015,-0.004,0.1896,3.3333,0.1996,0.0299,3.3234,53.513,1.0579,0.7485,0.02,0.6387,0.1198,0.2395,0,0,0,0,46.0679,0.1597,0.4391,0.5489,0.0055,0.4691,0,0.01,0.0399,0.01,0.02,0.0499,0.0005,0.0299,0,0,0.02,0,0,1.3074,0.7186,0.9381,0.2894,0.0798,0.6088,0.978,62.2,0.3693,1.497,0.8283,0.6687,1.0379,2.3453,4.012,0.0599,64.4112,8.9421,34.1317,28.1437,2.5848,0.6287,64.4112,0.6188,79,0.0998,16.1,38.0838,197.2754,117.515,0.8483,0.509,0.02,0.4391,0.2295,43.9721,0.1297,0,0,0.7186,0,0.02,0,5.3892,2.2355,1.3074,Sweeper
Justin Kluivert,1,0.2607,0.1975,0.4581,0.2528,0.0079,0.0158,0.1406,0.1343,0.0995,0.2338,5.6556,1.2559,0.7978,63.5,0.2,0.32,0.1485,0.11,1.2,1,213.4913,49.9052,82,73.9,48.2,0.0964,0.0979,1.0664,0.7741,0.7978,0.3239,1.5956,17.1643,1.8167,0.4265,0.0474,0.1975,2.733,0.3397,0.9953,0.3476,0.3949,0.0079,13.5387,0.1264,0.5845,2.4171,0.0283,1.5798,0.2765,0.2607,0.1343,0.1106,0.0553,0.237,0.0028,0.1185,0.0237,0.0474,0.0237,0.0158,0.0079,0.7583,0.545,0.2528,0.3239,0.1817,0.2449,0.6872,35.6,0.4423,0.4581,0.0079,0.4502,0.3397,1.0979,0.2765,0,26.8799,0.3555,2.5118,9.3444,15.5529,2.575,26.872,2.5276,50.3,1.2243,48.4,16.9826,135.3002,71.1611,2.5671,1.793,0.9479,1.6193,0.9874,18.6888,0.2054,0.0158,0.0079,1.6746,0.0079,0.0079,0,2.6619,0.3791,0.7188,Wide Winger
Ibrahima Konate,1,0.0297,0.0099,0.0396,0.0297,0,0,0.0436,0.0436,0.0119,0.0555,0.1982,0.3766,0.0991,26.3,0.08,0.3,0.1041,0.11,-2.4,-2.4,775.005,309.5144,88.9,89.4,55.9,0.0218,-0.002,0.1288,3.1516,0.2081,0.0297,3.6472,49.2468,1.2389,1.1497,0.0694,0.1883,0.0595,0.0892,0,0,0,0,42.6759,0.109,0.2478,0.7235,0.008,0.5847,0.0099,0.0297,0.0496,0.0297,0.0198,0.0793,0.0009,0.0595,0,0.0198,0,0,0,1.5857,1.1001,1.0406,0.5253,0.0198,0.6838,1.1199,61.1,0.4361,0.9217,0.4757,0.446,1.4073,2.9931,3.6967,0.0595,59.9306,4.9554,25.7681,32.4579,2.1407,0.7235,59.9306,0.6145,79,0.0991,16.1,34.3806,185.7978,110.1784,0.7929,0.4658,0.0198,0.5055,0.3271,38.4242,0.218,0,0,1.2884,0,0.0396,0.0198,4.886,2.884,1.1397,Aggressor
Ezri Konsa,1,0.0249,0.0124,0.0373,0.0249,0,0,0.0353,0.0353,0.0124,0.0477,0.2282,0.278,0.1079,38.8,0.09,0.23,0.0432,0.13,-2.5,-2.5,541.8797,182.7261,90.5,92,59.2,0.012,0,0.1494,1.4481,0.0788,0.029,1.6224,31.9295,2.1784,0.9627,0.0124,0.1037,0.1079,1.1577,0,0,0,0,29.5228,0.0415,0.2324,0.3817,0.0021,0.2863,0.0124,0.0124,0.029,0.0332,0.0083,0.0332,0.0002,0.0207,0,0,0.0041,0.0041,0.0041,0.7842,0.4523,0.4481,0.3071,0.029,0.3444,0.4979,69.2,0.1535,0.8838,0.61,0.2739,0.6556,1.4398,2.6266,0.0415,40.7137,5.473,21.3485,17.6141,1.9793,0.6307,40.7137,0.332,61.3,0.0747,22.5,22.9751,104.2365,60.473,0.3195,0.195,0.0124,0.3402,0.166,25.7469,0.1494,0.0083,0.0041,0.5934,0.0041,0.0124,0.0083,3.2739,1.4398,1.0498,Sweeper
Cheikhou Kouyate,1,0.0534,0.0388,0.0923,0.0534,0,0,0.0204,0.0204,0.0136,0.034,0.4564,0.2719,0.2282,25,0.05,0.23,0.0391,0.09,-3.4,-3.4,147.0405,47.276,83.7,80.2,53.2,0.0107,0.0252,0.1481,0.6506,0.068,0.017,0.789,11.9082,0.2913,0.2282,0.017,0.017,0.1554,0.0583,0,0,0,0,9.3761,0.0243,0.2209,0.3569,0.0024,0.2865,0,0.0073,0.0316,0.017,0.0146,0.0388,0.0003,0.034,0,0,0,0.0024,0.0024,0.8279,0.6482,0.488,0.2938,0.0461,0.2695,0.5827,46.3,0.3132,0.471,0.1845,0.2865,0.6094,1.2479,0.8376,0.0097,16.2418,1.2891,5.9165,8.1889,2.3015,0.4273,16.2418,0.3083,62.2,0.1117,36.2,7.293,35.0158,15.091,0.1869,0.1602,0.0243,0.4443,0.2549,8.6283,0.1311,0.0097,0,0.806,0.0024,0.0049,0,1.9883,1.0439,0.8424,Box to Box
Mateo Kovacic,1,0.0677,0.165,0.2327,0.0677,0,0,0.036,0.036,0.0491,0.085,1.0068,0.6768,0.2792,20,0.03,0.24,0.0918,0.06,-4.5,-4.5,548.2318,142.4154,93.7,91.7,75.9,0.0541,0.1159,0.5922,3.6548,0.5203,0.0169,4.0525,37.28,0.8545,0.6007,0.2115,0.3469,0.1988,0.11,0.0127,0,0,0,34.2724,0.0592,0.3723,1.6074,0.0137,1.379,0.0085,0.0761,0.0677,0.055,0.0212,0.1438,0.0012,0.1269,0,0,0.0042,0.0085,0.0042,1.2479,1.1294,0.5499,0.5838,0.1142,0.4738,1.0787,43.9,0.6049,0.4146,0.055,0.3596,0.4907,1.5778,0.3426,0.0212,42.8553,0.6345,6.8232,26.8316,9.6954,0.4019,42.8553,1.4763,77.7,0.2961,20.1,29.5347,167.0558,80.1142,1.2944,1.4213,0.0761,0.6218,0.6641,34.6658,0.1946,0.0085,0,0.8418,0.0042,0,0,3.2149,0.1988,0.2623,Creator
Emil Krafth,1,0.0247,0.0494,0.0741,0.0247,0,0,0.0094,0.0094,0.0272,0.0366,0.8799,0.1681,0.1532,38.2,0.06,0.16,0.1013,0.07,0.1,0.1,223.8952,103.04,84.3,73.9,44.1,0.0232,0.0222,0.1631,0.9095,0.1878,0.0939,1.2111,14.5823,4.1869,0.2818,0,0.0346,0.9145,3.9001,0.0049,0,0,0,13.5344,0.0692,0.5042,0.3955,0.0045,0.2966,0.0445,0.0148,0.0148,0.0148,0.0099,0.0346,0.0004,0.0297,0,0,0,0.0049,0,0.7514,0.5487,0.4795,0.2175,0.0544,0.4449,0.8156,54.5,0.3707,0.4004,0.2126,0.1878,0.5932,1.1814,1.4137,0.0346,22.9609,1.8339,8.7593,10.0939,4.2907,0.2818,22.9609,0.2126,51.2,0.0989,46.5,9.4563,45.6204,25.047,0.608,0.4004,0.0692,0.3312,0.1681,10.8848,0.1038,0.0099,0,0.7365,0,0.0099,0,1.9921,0.5388,0.5289,Defensive Full Back
Dejan Kulusevski,1,0.2238,0.2582,0.4819,0.2151,0.0086,0.0086,0.1644,0.1575,0.2418,0.3985,8.7866,1.833,0.5938,32.4,0.12,0.36,0.1429,0.09,6.9,6.7,378.2616,95.8606,86.6,80.9,54.4,0.1859,0.0164,2.1256,1.506,1.6007,0.3442,3.4596,32.7539,1.7986,0.2065,0.241,0.1119,2.1945,0.2496,0.6196,0.2496,0.0602,0,27.0396,0.1549,1.2565,4.191,0.0361,3.2358,0.1291,0.4475,0.2754,0.0775,0.0258,0.4647,0.004,0.3442,0.0086,0.0775,0.0258,0.0086,0,1.4974,0.8262,0.611,0.5938,0.2926,0.5938,1.9707,30.1,1.3769,0.9208,0.0172,0.9036,0.6196,2.117,0.3012,0.0086,47.6592,0.6282,6.222,18.4682,24.1738,5.4303,47.6506,3.9759,52.2,1.7728,44.6,31.7814,234.1566,123.6317,4.5611,2.3752,2.0396,3.3133,2.1945,34.0534,0.1635,0,0,1.833,0.0086,0.0086,0,5.3787,0.3528,0.7917,Wide Winger
Adam Lallana,1,0.2049,0.1723,0.3772,0.2049,0,0,0.0184,0.0184,0.019,0.0374,0.8702,0.3623,0.8672,28.7,0.1,0.24,0.0523,0.09,-2.2,-2.2,107.4666,27.1013,90.2,86.7,55.7,0.0205,0.1533,0.2228,0.6207,0.2228,0.0178,0.9504,9.5278,0.1901,0.0743,0.0178,0.0238,0.2584,0.0327,0.0327,0.0119,0,0,8.2715,0.0386,0.1723,0.5079,0.0085,0.4455,0.0089,0.0149,0.0119,0.0267,0,0.0505,0.0008,0.0446,0,0,0.003,0.003,0,0.3356,0.2643,0.1455,0.1396,0.0505,0.098,0.395,24.8,0.297,0.1782,0.0297,0.1485,0.196,0.4722,0.1069,0.003,11.4731,0.2584,1.88,5.9341,3.7333,0.6178,11.4731,0.2584,60.9,0.098,37.9,6.6231,27.823,12.8868,0.3,0.2198,0.0832,0.3059,0.2257,8.5388,0.095,0,0,0.8316,0,0.003,0,1.0425,0.1455,0.2317,Creator
Tariq Lamptey,1,0.0244,0.1463,0.1707,0.0244,0,0,0.0439,0.0439,0.122,0.1659,8.0488,0.8049,0.1463,18.2,0.03,0.17,0.4634,0.05,-0.8,-0.8,524.0244,119.8537,89.3,75.9,37,0.1195,0.0244,1.0488,1.7073,1.2927,0.7561,2.7317,40.7073,6.439,0.439,0.0976,0.0976,4.5122,6,0,0,0,0,36.439,0.0488,1.3415,2.6585,0.0649,1.9512,0.0732,0.1463,0.0976,0.3659,0.0244,0.2683,0.0066,0.1951,0.0244,0,0,0.0488,0,1.8537,1.2439,0.8537,0.7561,0.2439,0.7317,1.4634,50,0.7317,0.8293,0.1707,0.6585,1.5854,3.439,1.3171,0.0244,60.5122,2.122,13.9268,23.7805,23.7561,2.3659,60.5122,3.6098,47.3,1.7317,48,36.2683,239.3659,129.8537,4.3659,2.8049,1.0244,2.3902,0.9024,39.0976,0.3171,0.0244,0.0244,1.7317,0.0488,0.0244,0,5.6098,0.4146,1.2927,Offensive Wing Back
Aymeric Laporte,1,0.0576,0.0252,0.0828,0.0576,0,0,0.0374,0.0374,0.0119,0.0493,0.1512,0.4932,0.1692,26.3,0.1,0.34,0.0522,0.11,-2.4,-2.4,696.3103,229.5608,95,95.3,74.6,0.018,0.0133,0.1584,3.6177,0.1476,0.0216,3.6249,39.3665,0.9647,0.6012,0.0252,0.5112,0.1764,0.3384,0,0,0,0,37.1094,0.0648,0.1152,0.5148,0.0039,0.4644,0.0036,0.0072,0.0324,0.0072,0,0.0648,0.0005,0.0468,0.0036,0,0.0072,0.0072,0,0.5688,0.6048,0.3744,0.1836,0.0108,0.2556,0.4248,60.2,0.1692,0.2916,0.18,0.1116,0.9899,1.0403,1.3247,0.0252,43.8481,2.779,14.7372,26.7279,2.5198,0.4464,43.8481,0.1152,68.8,0.0324,28.1,31.2095,172.1382,123.1281,0.9179,0.7847,0.0072,0.1332,0.0432,34.0821,0.2052,0.0252,0.0036,0.8927,0.0072,0.0144,0.0072,2.6782,1.0367,0.6084,Sweeper
Jamaal Lascelles,1,0.0683,0.008,0.0764,0.0683,0,0,0.0213,0.0213,0.0092,0.0305,0.1206,0.2894,0.1568,31.9,0.15,0.44,0.0442,0.07,2.7,2.7,311.5595,111.668,84.1,85.4,54.3,0.008,-0.0012,0.0804,0.7516,0.0442,0,0.8641,20.4703,0.3497,0.2733,0.008,0.0965,0.0322,0.0482,0,0,0,0,16.3826,0.0723,0.1849,0.2572,0.0018,0.213,0.0121,0,0.0201,0.0121,0,0.008,0,0.004,0,0,0.004,0,0,0.4823,0.2613,0.3014,0.1648,0.0161,0.1608,0.2814,57.1,0.1206,0.7355,0.5225,0.213,0.5305,1.0129,3.3159,0.0241,26.9976,4.783,16.1093,9.8312,1.1937,0.7034,26.9976,0.0884,72.7,0.0201,22.7,12.5201,57.082,27.1141,0.1407,0.1045,0.0161,0.1407,0.0965,14.3248,0.217,0.004,0,0.7918,0,0.0121,0.0121,2.7653,1.877,0.9244,Sweeper
Mario Lemina,1,0.065,0.0217,0.0867,0.0596,0.0054,0,0.0417,0.0417,0.0195,0.0612,0.7909,0.8397,0.2709,25.8,0.05,0.22,0.1148,0.07,-0.7,-0.7,459.7616,125.4009,90.6,90.1,65.7,0.0249,0.0022,0.2709,2.1614,0.2546,0.0217,2.546,30.5688,0.4171,0.2871,0.0975,0.2329,0.2925,0.0975,0,0,0,0,26.766,0.0975,0.2329,0.9751,0.0085,0.753,0,0.0758,0.0488,0.0488,0.0488,0.0758,0.0007,0.0379,0,0,0.0108,0.0163,0.0108,1.7822,1.403,0.7855,0.8288,0.1679,0.6284,1.1863,53,0.558,0.818,0.2167,0.6013,1.3109,2.8819,1.0509,0.0325,38.2124,1.9989,10.1408,23.0715,5.4063,0.5525,38.2124,1.208,73.1,0.3034,25.1,23.4182,135.6501,65.9534,0.9426,0.8126,0.0596,0.6771,0.6338,25.6446,0.26,0.0271,0.0163,1.6631,0.0054,0,0,4.1495,0.7476,0.4605,Box to Box
Jefferson Lerma,1,0.0639,0.0451,0.1091,0.0639,0,0,0.053,0.053,0.0549,0.1079,0.9101,0.944,0.2219,23.5,0.06,0.25,0.0778,0.07,-2.1,-2.1,491.1959,153.4712,86.1,84.8,57.4,0.0496,-0.0098,0.534,3.223,0.4588,0.0489,3.6029,35.6976,0.9289,0.7484,0.1091,0.3272,0.4889,0.1467,0.0038,0,0,0,29.3757,0.1053,0.5491,1.3877,0.007,1.1583,0.015,0.0451,0.0527,0.0752,0.0414,0.0865,0.0005,0.0752,0,0,0,0.0113,0,1.0718,0.8387,0.4363,0.5416,0.094,0.3798,0.9966,38.1,0.6168,0.6732,0.2858,0.3874,1.3765,2.2114,1.4442,0.0113,43.7683,2.4972,11.4742,25.1899,7.4915,0.7898,43.7683,0.6544,70.1,0.188,28.7,23.7834,98.9094,44.2046,0.5378,0.6281,0.0602,0.7221,0.4099,26.6717,0.3498,0.0226,0.0075,1.3727,0.0038,0.0075,0.0075,5.66,1.8616,1.3313,Box to Box
Rico Lewis,1,0,0,0,0,0,0,0.0156,0.0156,0.125,0.1484,2.8125,0.3906,0.1562,40,0,0,1.6484,0.04,-0.2,-0.2,804.375,133.6719,94.3,92.6,75.9,0.1484,-0.125,1.0156,3.4375,0.9375,0.2344,4.2969,58.8281,3.5938,0.5469,0.0781,0,0.3906,2.8125,0,0,0,0,56.7969,0.0781,0.8594,2.2656,0.1766,2.0312,0.0781,0,0.0781,0.0781,0,0,0,0,0,0,0,0,0,1.4844,0.7812,0.8594,0.4688,0.1562,0.4688,0.9375,50,0.4688,0.7812,0.3125,0.4688,0.7031,2.1875,1.0938,0.0781,69.2188,2.4219,13.125,37.2656,19.375,1.4062,69.2188,1.4844,52.6,0.4688,31.6,47.2656,230.8594,124.9219,1.9531,2.3438,0.2344,0.5469,1.4062,54.5312,0.1562,0,0,1.0156,0,0,0,4.6875,0,0.7031,Disruptor
Keane Lewis-Potter,1,0.2925,0.1083,0.4009,0.2925,0,0,0.1733,0.1733,0.0737,0.2459,5.4496,2.4485,0.8017,32.7,0.12,0.36,0.1863,0.12,-2,-2,188.8407,44.572,82,72.4,42.3,0.0672,0.0347,0.6609,0.5742,0.6067,0.2384,1.3109,16.9231,1.0943,0.0433,0.0433,0.1083,2.2319,0.9317,0.0217,0,0,0,12.7844,0.0867,0.5959,1.506,0.0256,1.0184,0.0108,0.1733,0.1625,0.1192,0.0217,0.1625,0.0027,0.0975,0,0.0108,0.0542,0,0,0.3467,0.4767,0.195,0.1192,0.0325,0.1408,0.5417,26,0.4009,0.455,0.0542,0.4009,0.6717,0.7909,0.7042,0,24.9837,0.9751,3.662,8.9491,12.8061,2.6002,24.9837,1.8418,43.5,1.0076,54.7,15.9588,119.3066,57.6273,2.1885,1.3434,0.8234,1.4301,0.7584,17.7356,0.0975,0,0,0.5309,0,0,0,2.7952,0.39,0.6284,Inverted Winger
Victor Lindelof,1,0.0262,0.0305,0.0567,0.0262,0,0,0.01,0.01,0.0135,0.024,0.1133,0.1221,0.061,28.6,0.18,0.43,0.0432,0.08,1.7,1.7,636.9616,223.4481,93.1,93.4,63,0.0161,0.017,0.1308,1.8003,0.109,0,2.0183,39.1979,1.3034,0.728,0.0523,0.1439,0.0305,0.4664,0,0,0,0,36.0549,0.0349,0.2398,0.3618,0.0023,0.3357,0.0044,0.0044,0.0087,0,0.0087,0.0654,0.0004,0.061,0,0,0,0,0.0044,0.6844,0.4228,0.388,0.2746,0.0218,0.3182,0.5275,60.3,0.2092,0.6103,0.3793,0.231,0.6408,1.3252,2.5894,0.0305,46.1508,5.3618,23.2563,21.3644,1.7262,0.2485,46.1508,0.1264,82.8,0.0218,17.2,27.2799,157.0139,88.2868,0.388,0.3793,0.0131,0.2092,0.0785,31.0811,0.0915,0,0,0.6757,0,0.0044,0.0087,3.9015,1.4996,0.9329,Sweeper
Valentino Livramento,1,0.0332,0.0332,0.0664,0.0332,0,0,0.0465,0.0465,0.093,0.1395,4.5515,0.3987,0.0997,25,0.08,0.33,0.5282,0.12,-0.4,-0.4,532.8239,178.1395,87.7,75.2,44,0.0963,-0.0598,0.7641,1.9269,1.0631,0.3322,3.1894,38.9037,8.5714,0.6645,0.0664,0.0997,2.2591,7.907,0,0,0,0,36.412,0.0332,1.0299,1.8272,0.0608,1.5282,0,0.0997,0.0332,0.1329,0.0332,0.1329,0.0043,0.0664,0,0.0332,0,0.0332,0,2.2259,1.1296,1.3621,0.6645,0.1993,1.0963,1.8605,58.9,0.7641,0.9635,0.4319,0.5316,1.8605,4.0864,2.1262,0.0332,60.1661,3.289,17.5415,27.1761,16.9103,1.794,60.1661,2.2924,56.5,0.897,39.1,29.9336,203.5548,103.8206,3.0233,2.0266,0.6645,2.0598,0.8638,31.5282,0.0997,0,0,0.4983,0.0332,0,0,7.0764,0.897,0.9302,Offensive Wing Back
Giovani Lo Celso,1,0.1694,0.1848,0.3541,0.154,0.0154,0.0308,0.1409,0.117,0.1162,0.2333,3.6028,1.8168,0.5928,32.6,0.08,0.26,0.1586,0.07,1.7,2.8,681.7475,171.632,89.8,87,70.6,0.1178,0.0685,1.2394,4.0416,1.3241,0.0462,5.7968,48.6451,3.0947,1.4858,0.4696,0.4311,1.7475,0.331,1.0547,0.6543,0.1386,0.0154,43.4026,0.3002,1.2471,3.0562,0.0278,2.194,0.2617,0.1463,0.1617,0.2309,0.0616,0.3233,0.0029,0.2309,0.0154,0.0231,0.0077,0.0308,0.0154,2.3018,1.786,0.7159,1.147,0.4388,0.6851,2.0631,33.2,1.378,0.9161,0.1155,0.8006,0.5928,2.8176,0.408,0.0154,62.5481,0.8545,7.7521,34.0878,21.6243,2.2556,62.5173,2.9099,59,1.1085,38.1,42.0631,270.6928,135.8122,2.9946,2.4326,0.4773,2.0092,1.555,48.0985,0.2617,0.0077,0.0077,1.4011,0.0154,0,0,4.9577,0.4157,0.7467,Box to Box
Tom Lockyer,1,0.0312,0.0104,0.0417,0.0312,0,0,0.0247,0.0247,0.0102,0.0349,0.1276,0.2005,0.112,39,0.09,0.21,0.031,0.12,-3.5,-3.5,235.7381,110.867,78.7,77.7,46.8,0.0135,0.0003,0.0885,1.0362,0.1458,0.0338,0.9997,14.944,0.7889,0.4634,0.0026,0.1822,0.1458,0.3202,0,0,0,0,10.6665,0.0807,0.2187,0.289,0.0021,0.2395,0.0104,0,0.0312,0.0026,0.0052,0.0286,0.0002,0.0208,0,0,0.0078,0,0,0.4608,0.276,0.3124,0.1406,0.0078,0.2473,0.4087,60.5,0.1614,0.4348,0.2864,0.1484,0.5832,1.044,1.5595,0.0078,19.6902,2.4889,11.0023,7.7922,1.0622,0.3567,19.6902,0.1198,58.7,0.0364,30.4,9.107,50.4478,28.8545,0.1901,0.138,0.0156,0.1718,0.0755,9.3569,0.1588,0.0052,0.0026,0.6092,0.0026,0.0052,0.0104,2.2338,1.3642,0.9268,Sweeper
Sean Longstaff,1,0.1191,0.0911,0.2102,0.1191,0,0,0.0645,0.0645,0.054,0.1184,1.3875,0.7638,0.4765,53.2,0.13,0.25,0.1423,0.08,-3.2,-3.2,356.8535,98.8297,86.5,86.8,58.9,0.0427,0.0371,0.4765,1.857,0.3224,0.0701,2.2074,24.583,1.4226,0.5746,0.0701,0.4064,0.7708,0.0911,0.2663,0.1191,0.042,0.042,20.7568,0.0771,0.5746,1.2754,0.0138,0.89,0.1331,0.0491,0.0841,0.1051,0.014,0.1542,0.0017,0.0771,0.014,0.007,0.021,0.028,0.007,1.3595,0.7708,0.5116,0.7148,0.1331,0.7008,1.801,38.9,1.1002,0.953,0.2242,0.7288,0.5396,1.8991,0.6307,0.028,32.8662,1.2894,7.26,18.4583,7.274,0.953,32.8662,0.5396,42.9,0.3013,55.8,16.4471,65.6132,24.4359,0.3083,0.2873,0.0981,0.8129,0.6447,20.0911,0.1051,0.007,0,1.0301,0.007,0,0,3.3076,0.5256,0.7428,Disruptor
Douglas Luiz,1,0.1042,0.0823,0.1865,0.0878,0.0165,0.0165,0.0823,0.0697,0.0719,0.1415,1.1958,1.13,0.3346,29.6,0.08,0.26,0.1333,0.07,1,0.3,652.3533,179.6983,89,87.5,64,0.0636,0.0104,0.8393,3.379,0.5156,0.0987,3.9002,39.5502,3.955,2.5123,0.1207,0.4224,1.8651,0.1755,1.1135,0.6583,0.1646,0.0219,36.2041,0.1207,0.4059,2.1393,0.0135,1.4701,0.4004,0.0768,0.0823,0.0823,0.0274,0.2084,0.0013,0.1481,0.0329,0,0.0165,0,0.011,1.684,1.0697,0.7625,0.768,0.1536,0.6473,1.8486,35,1.2013,1.0861,0.3182,0.768,1.1081,2.7153,1.0532,0.0329,51.887,2.5233,12.9128,29.6654,9.9561,0.5924,51.8651,1.1849,67.1,0.3346,28.2,28.4037,159.3198,78.7713,1.2617,0.8941,0.0933,1.0532,0.6692,32.057,0.2852,0.011,0.0055,1.6237,0,0.0219,0,5.7817,0.8941,0.8996,Pivot
Sasa  Lukic,1,0.102,0.0408,0.1428,0.0748,0.0272,0.0272,0.0795,0.0578,0.0653,0.123,1.8219,0.7342,0.2243,25.9,0.08,0.33,0.1468,0.08,1.3,0.5,512.223,124.1128,89.1,89.6,74,0.0653,-0.0245,0.7274,2.9368,0.5642,0.17,3.1203,34.5615,1.5568,1.1557,0.0816,0.1903,1.0469,0.1156,0.2243,0.0748,0.068,0.0068,30.7274,0.1088,0.7342,1.9714,0.0162,1.482,0.1496,0.0884,0.0612,0.1292,0.0612,0.1428,0.0012,0.0952,0.0068,0.0136,0.0068,0.0068,0.0136,1.2984,0.8566,0.4215,0.6934,0.1835,0.4691,1.2984,36.1,0.8294,0.9041,0.2651,0.639,0.9857,2.121,0.7818,0.0068,43.6506,1.3868,7.811,25.7648,10.6662,1.0061,43.6234,1.0197,66,0.3331,32.7,25.2073,150.2787,76.7029,1.7539,1.448,0.2447,1.1353,0.5642,28.6132,0.3331,0.0068,0,2.019,0.0068,0.0136,0,4.4324,0.877,1.482,Box to Box
Ian Maatsen,1,0.0769,0.0962,0.1731,0.0769,0,0,0.0567,0.0567,0.0971,0.1538,3.25,1.125,0.2308,20.5,0.07,0.33,0.1913,0.07,1.1,1.1,588.7404,180.4904,87.7,79.8,47.8,0.1058,-0.001,0.7885,2.7115,0.7885,0.2596,3.3654,36.9231,8.5673,0.8462,0.1154,0.3365,3.125,7.2692,0.4519,0.2692,0.0865,0.0192,34.8365,0.1923,1.0673,1.7019,0.0233,1.3942,0.1346,0.0385,0.0673,0.0288,0.0385,0.1442,0.002,0.1346,0,0,0.0096,0,0,1.5192,1.5,0.8077,0.5096,0.2019,0.6346,1.2692,50,0.6346,0.7115,0.0673,0.6442,1.7019,2.5481,1.125,0,54.5,1.4519,14.6635,25.8942,14.5577,1.375,54.5,1.3462,40,0.7212,53.6,29.7212,167.3365,90.0192,2.2788,1.0865,0.3365,1.6827,0.7404,32.4231,0.2596,0.0192,0,1.3462,0,0.0096,0,4.7981,0.5385,0.9135,Offensive Wing Back
